,Mes,Inflacion,Desempleo,Expectativa_Inflacion,M1,expectativa inflacion mes siguiente,indice real de remuneraciones,Inflacion_anterior,Z,Inflacion_pred,Inflacion_pred_restr
52,2014-07-01,0.2,6.5941218073472,0.2,23025.026,0.2,0.960135695884,0.1,0.1,0.06691943317787064,0.07102487259127507
53,2014-08-01,0.3,6.8264777631324,0.1,23394.997,0.4,-0.057504647736,0.2,-0.1,0.1617701476145183,0.13837068374289394
54,2014-09-01,0.8,6.7605499259606,0.5,23309.497,0.3,-0.243129050921,0.3,0.2,0.6019191661700907,0.6227677767599137
55,2014-10-01,1.0,6.5636702551218,0.3,23063.2695,0.2,-0.71996541126,0.8,-0.5,0.4264980566950395,0.4281005662375301
56,2014-11-01,0.0,6.2148680033327,0.1,24119.93925,0.0,0.5441959108626,1.0,-0.9,-0.06921075154899431,-0.06290391822528973
57,2014-12-01,-0.4,6.2055968190967,-0.2,25823.58776247,0.0,1.7631895468197,0.0,-0.2,-0.4683226784860669,-0.5009097924829715
58,2015-01-01,0.1,6.2266912629249,-0.2,25570.151133148,0.0,0.7526148373207,-0.4,0.2,-0.17680925014102783,-0.23966854392658327
59,2015-02-01,0.4,6.2152623703,0.1,25484.11154317,0.5,-0.195595677102,0.1,0.0,0.25828145668930913,0.22463924827867765
60,2015-03-01,0.6,6.2288644027975,0.7,25702.521728591,0.2,0.1731396318176,0.4,0.29999999999999993,0.7435581050037675,0.7933126233875818
61,2015-04-01,0.6,6.3558414864696,0.3,25505.879285031,0.2,-0.772591827942,0.6,-0.3,0.4989370815729335,0.49111143123207923
62,2015-05-01,0.2,6.7515088944151,0.2,26968.206449374,0.2,-0.100109854624,0.6,-0.39999999999999997,0.23034957603686002,0.22525672571143573
63,2015-06-01,0.5,6.6702240657655,0.2,26774.220462882,0.2,-0.267626087145,0.2,0.0,0.3402786576557449,0.32074766046195763
64,2015-07-01,0.4,6.6916061135188,0.3,26644.091980741,0.2,0.6136923249077,0.5,-0.2,0.19318890878960737,0.21056272091781836
65,2015-08-01,0.7,6.5585027061965,0.3,26411.302401974,0.6,-0.719870000469,0.4,-0.10000000000000003,0.514535700721443,0.5026797412249413
66,2015-09-01,0.5,6.5439997153519,0.7,26983.850051668,0.3,0.1631538392633,0.7,0.0,0.6825481747472226,0.7409759620240536
67,2015-10-01,0.4,6.4452389584113,0.3,26712.6549367,0.2,-0.294457008033,0.5,-0.2,0.4109452494705395,0.40926899920108983
68,2015-11-01,0.0,6.1748227596574,0.1,27421.91979348,0.1,0.4484522339081,0.4,-0.30000000000000004,0.07642905230165659,0.061814927006194564
69,2015-12-01,0.0,5.8704192154739,0.1,29419.405086636,0.4,0.9955723625187,0.0,0.1,0.052744528905199095,0.03476511000759119
70,2016-01-01,0.5,5.9174359863914,0.4,28817.266041756,0.2,0.9534362152882,0.0,0.4,0.365260219890011,0.381236394482538
71,2016-02-01,0.3,6.0461631026577,0.2,28436.814540991,0.5,-0.509089009371,0.5,-0.3,0.38942211629538726,0.3687812563544144
72,2016-03-01,0.4,6.49049906407,0.5,28258.939716702,0.2,0.4129558345653,0.3,0.2,0.4998071947687976,0.5282449909451523
73,2016-04-01,0.3,6.6052157884769,0.3,28189.435327268,0.2,-0.610913171086,0.4,-0.10000000000000003,0.49750048593377216,0.4866648220387289
74,2016-05-01,0.2,7.027192121286,0.2,28274.361835692,0.2,-0.171936693168,0.3,-0.09999999999999998,0.288815719430694,0.27462695762680633
75,2016-06-01,0.4,7.0180202335965,0.3,28200.673218537,0.2,-0.056467776544,0.2,0.09999999999999998,0.38350221965699705,0.3802038723067334
76,2016-07-01,0.2,7.2671162502907,0.2,27812.317297451,0.2,0.231327227965,0.4,-0.2,0.16464822677081264,0.16266179055545743
77,2016-08-01,0.0,7.0704324272928,0.2,27588.430359415,0.5,0.4965912363023,0.2,0.0,0.15039947192861225,0.14726100287476596
78,2016-09-01,0.2,7.0307198781385,0.5,27601.657968071,0.3,-0.003950251923,0.0,0.5,0.6082548168013474,0.6237693913871151
79,2016-10-01,0.2,6.6808261954863,0.3,27582.606642839,0.1,0.0327243502545,0.2,0.09999999999999998,0.38033787370780664,0.3774566641399236
80,2016-11-01,0.1,6.4033831152142,0.1,28965.238095877,0.1,0.1591753745531,0.2,-0.1,0.17037833712910272,0.14472499561934504
81,2016-12-01,-0.2,6.2004127300428,0.0,30318.550910509,0.2,1.0262219507318,0.1,-0.1,-0.08911199879819498,-0.11405954634697346
82,2017-01-01,0.5,6.3693701245487,0.2,29536.153183924,0.1,0.5390585610959,-0.2,0.4,0.26280968949942163,0.2444080598202843
83,2017-02-01,0.2,6.7713485956733,0.2,29360.654272371,0.4,-0.606267680515,0.5,-0.3,0.37281865855711493,0.3534320900786828
84,2017-03-01,0.4,7.0402289496768,0.4,29788.558295658,0.2,0.4425032038068,0.2,0.2,0.3829738144037079,0.39966407799862436
85,2017-04-01,0.2,7.0779779734202,0.2,30229.821805969,0.2,-0.506461679226,0.4,-0.2,0.3542744759681891,0.33507681318466387
86,2017-05-01,0.1,7.326344790601,0.2,30763.927639287,0.2,0.0375523058658,0.2,0.0,0.25543243900402224,0.2422991873087372
87,2017-06-01,-0.4,7.3125193579654,0.1,31099.137786037,0.2,0.7716462669121,0.1,0.0,0.008483006773680968,-0.004757482191345419
88,2017-07-01,0.2,7.2167784939905,0.1,30671.356219053,0.2,0.7417110839255,-0.4,0.5,0.10445979075281642,0.07683926513140155
